,band,sequence,ad_mean,hc_mean,ad_std,hc_std,effect_size
delta_T1,delta,1,0.3873089978245394,0.377829602352754,0.35758401347673846,0.18438422913581987,0.03332120351475474
theta_T1,theta,1,0.3728194502958787,-0.06059045640947448,0.32464400137261606,0.27940838318516575,1.4310007323851048
alpha_T1,alpha,1,0.051430356025272815,0.08840586338616581,0.33696032352769906,0.5553519207502012,0.08049974768819768
beta_T1,beta,1,-0.5716897971732159,-0.5887764989899276,0.2100072645380145,0.2772496682016438,0.06947581127292286
gamma_T1,gamma,1,-1.2814190386514461,-1.4172702403897537,0.3323553916475937,0.33074605287053893,0.4097436456011658
delta_T2,delta,2,0.36194384237320504,0.3802980118724837,0.3747769477717411,0.17789234010407695,0.06256838622616451
theta_T2,theta,2,0.3652159808450145,-0.05608028830094997,0.3233022724787907,0.2605624424610585,1.4348694374058486
alpha_T2,alpha,2,0.05059855345939377,0.10149647679864278,0.32304129633817846,0.5627202451247483,0.11093510085345877
beta_T2,beta,2,-0.5736182509763371,-0.5841309939221214,0.20855127723852993,0.2867697504199855,0.04192863061881135
gamma_T2,gamma,2,-1.2877015239967486,-1.4217811108963696,0.3226388623907391,0.3404619549109775,0.40425581395659127
